/Users/tigran/workspace/dwg_parser/codes/parser.py:397: SyntaxWarning: invalid escape sequence '\P'
elem: name=Lichtschiene Tecton WS_A01KSYAMXE layer=ADE_ET_BEL_Lichtschiene text= ins=(294.40631918128, 853.0410021281155, 0.0) matrix=(-1276.953665018012, -1402.2341647250723)
elem: name=Lichtschiene Tecton WS_A01KSYANXE layer=ADE_ET_BEL_Lichtschiene text= ins=(294.40631918128, 885.0410018058092, 0.0) matrix=(-1276.953665018012, -1402.2341647250723)
elem: name=Lichtschiene Tecton WS_A01KSYAOXE layer=ADE_ET_BEL_Lichtschiene text= ins=(294.40631918128, 631.4410043600867, 0.0) matrix=(-1276.953665018012, -1402.234164725073)
elem: name=Lichtschiene Tecton WS_A01KSYAPXE layer=ADE_ET_BEL_Lichtschiene text= ins=(294.40631918128, 599.441004682393, 0.0) matrix=(-1276.953665018012, -1402.234164725073)
elem: name=Lichtschiene Tecton WS_A01KSYAQXE layer=ADE_ET_BEL_Lichtschiene text= ins=(294.40631918128, 567.4410050046993, 0.0) matrix=(-1276.953665018012, -1402.2341647250732)
elem: name=Lichtschiene Tecton WS_A01KSYARXE layer=ADE_ET_BEL_Lichtschiene text= ins=(294.40631918128, 535.4410053270058, 0.0) matrix=(-1276.953665018012, -1402.234164725073)
elem: name=Lichtschiene Tecton WS_A01KSYASXE layer=ADE_ET_BEL_Lichtschiene text= ins=(294.40631918128, 503.441005649312, 0.0) matrix=(-1276.953665018012, -1402.2341647250732)
elem: name=Lichtschiene Tecton WS_A01KSYATXE layer=ADE_ET_BEL_Lichtschiene text= ins=(294.40631918128, 471.4410059716183, 0.0) matrix=(-1276.953665018012, -1402.2341647250732)
elem: name=Lichtschiene Tecton WS_A01KSYAUXE layer=ADE_ET_BEL_Lichtschiene text= ins=(294.40631918128, 468.6890059993366, 0.0) matrix=(-1276.953665018012, -1402.2341647250735)
elem: name=Einspeisestück_A01KSYAVXE layer=ADE_ET_BEL_Lichtschiene-Anschluss text= ins=(294.3663191816831, 468.4090060021572, 0.0) matrix=(-1276.9536650180125, -1402.2341647250737)
elem: name=Schaltkreis_A01KSYAWXE layer=ADE_ET_BEL_Lichtschiene-Anschluss-TXT text= ins=(288.5352268404142, 466.5632460207478, 0.0) matrix=(-1276.9536650180128, -1402.2341647250737)
  * MTEXT None layer=0 text='Lichtband 51-00.4 ' ins=(288.5352268404142, 468.0032460062439, 0.0) img_pos=(922.7051915794771, 4725.340531733857)
elem: name=Schaltkreis_A01KSYAXXE layer=ADE_ET_BEL_Lichtschiene-Anschluss-TXT text= ins=(293.7164515482286, 464.963246036863, 0.0) matrix=(-1276.9536650180128, -1402.234164725074)
  * MTEXT None layer=0 text='03F02 ' ins=(293.71645154822863, 466.4032460223591, 0.0) img_pos=(953.252828919273, 4734.7980040052735)
elem: name=Schaltkreis_A01KSYAYXE layer=ADE_ET_BEL_Lichtschiene-Anschluss-TXT text= ins=(293.7957625474296, 463.3661260529493, 0.0) matrix=(-1276.953665018013, -1402.234164725073)
  * MTEXT None layer=0 text='4,2 m ' ins=(293.7957625474296, 464.8061260384454, 0.0) img_pos=(953.7204333520588, 4744.215361864874)
elem: name=Lichtschiene Tecton WS_A01KSYAZXE layer=ADE_ET_BEL_Lichtschiene text= ins=(312.8067009303809, 663.4410040377807, 0.0) matrix=(-1276.9536650180123, -1402.2341647250732)
elem: name=Lichtschiene Tecton WS_A01KSYB0XE layer=ADE_ET_BEL_Lichtschiene text= ins=(312.8067009303809, 695.4410037154739, 0.0) matrix=(-1276.9536650180123, -1402.2341647250728)
elem: name=Lichtschiene Tecton WS_A01KSYB1XE layer=ADE_ET_BEL_Lichtschiene text= ins=(312.8067009303809, 727.4410033931676, 0.0) matrix=(-1276.9536650180123, -1402.2341647250728)
elem: name=Lichtschiene Tecton WS_A01KSYB2XE layer=ADE_ET_BEL_Lichtschiene text= ins=(312.8067009303809, 759.4410030708614, 0.0) matrix=(-1276.9536650180123, -1402.2341647250728)
elem: name=Lichtschiene Tecton WS_A01KSYB3XE layer=ADE_ET_BEL_Lichtschiene text= ins=(312.8067009303809, 791.4410027485551, 0.0) matrix=(-1276.9536650180123, -1402.2341647250723)
elem: name=Lichtschiene Tecton WS_A01KSYB4XE layer=ADE_ET_BEL_Lichtschiene text= ins=(312.8067009303809, 825.0410024101334, 0.0) matrix=(-1276.9536650180123, -1402.2341647250723)
elem: name=Lichtschiene Tecton WS_A01KSYB5XE layer=ADE_ET_BEL_Lichtschiene text= ins=(312.8067009303809, 853.0410021281155, 0.0) matrix=(-1276.9536650180123, -1402.2341647250723)
elem: name=Lichtschiene Tecton WS_A01KSYB6XE layer=ADE_ET_BEL_Lichtschiene text= ins=(312.8067009303809, 885.0410018058092, 0.0) matrix=(-1276.9536650180123, -1402.2341647250723)
elem: name=Lichtschiene Tecton WS_A01KSYB7XE layer=ADE_ET_BEL_Lichtschiene text= ins=(312.8067009303809, 631.4410043600869, 0.0) matrix=(-1276.9536650180123, -1402.2341647250735)
elem: name=Lichtschiene Tecton WS_A01KSYB8XE layer=ADE_ET_BEL_Lichtschiene text= ins=(312.8067009303809, 599.4410046823932, 0.0) matrix=(-1276.9536650180123, -1402.2341647250735)
elem: name=Lichtschiene Tecton WS_A01KSYB9XE layer=ADE_ET_BEL_Lichtschiene text= ins=(312.8067009303809, 567.4410050046995, 0.0) matrix=(-1276.9536650180123, -1402.2341647250737)
elem: name=Lichtschiene Tecton WS_A01KSYBAXE layer=ADE_ET_BEL_Lichtschiene text= ins=(312.8067009303809, 535.441005327006, 0.0) matrix=(-1276.9536650180123, -1402.2341647250735)
elem: name=Lichtschiene Tecton WS_A01KSYBBXE layer=ADE_ET_BEL_Lichtschiene text= ins=(312.8067009303809, 503.4410056493123, 0.0) matrix=(-1276.9536650180123, -1402.2341647250737)
elem: name=Lichtschiene Tecton WS_A01KSYBCXE layer=ADE_ET_BEL_Lichtschiene text= ins=(312.8067009303809, 471.4410059716186, 0.0) matrix=(-1276.9536650180123, -1402.2341647250737)
elem: name=Lichtschiene Tecton WS_A01KSYBDXE layer=ADE_ET_BEL_Lichtschiene text= ins=(312.8067009303809, 468.6890059993368, 0.0) matrix=(-1276.9536650180123, -1402.234164725074)
elem: name=Lichtschiene Tecton WS_A01KSYBEXE layer=ADE_ET_BEL_Lichtschiene text= ins=(331.2063188106274, 663.4410040377807, 0.0) matrix=(-1276.9536650180123, -1402.2341647250732)
elem: name=Lichtschiene Tecton WS_A01KSYBFXE layer=ADE_ET_BEL_Lichtschiene text= ins=(331.2063188106274, 695.4410037154739, 0.0) matrix=(-1276.9536650180123, -1402.2341647250728)
elem: name=Lichtschiene Tecton WS_A01KSYBGXE layer=ADE_ET_BEL_Lichtschiene text= ins=(331.2063188106274, 727.4410033931676, 0.0) matrix=(-1276.9536650180123, -1402.2341647250728)
